description,Name,Code
Airbus A220 family,Airbus A220-100,BCS1
Airbus A220 family,Airbus A220-300,BCS3
Airbus A300 family,Airbus A300,A30B
Airbus A300 family,Airbus A300-600,A306
Airbus A310 family,Airbus A310,A310
Airbus A320 family,Airbus A318,A318
Airbus A320 family,Airbus A319,A319
Airbus A320 family,Airbus A319neo,A19N
Airbus A320 family,Airbus A320,A320
Airbus A320 family,Airbus A320neo,A20N
Airbus A320 family,Airbus A321,A321
Airbus A320 family,Airbus A321neo,A21N
Airbus A330 family,Airbus A330-200,A332
Airbus A330 family,Airbus A330-300,A333
Airbus A330 family,Airbus A330-900,A339
Airbus A340 family,Airbus A340-200,A342
Airbus A340 family,Airbus A340-300,A343
Airbus A340 family,Airbus A340-500,A345
Airbus A340 family,Airbus A340-600,A346
Airbus A350 family,Airbus A350-1000,A35K
Airbus A350 family,Airbus A350-900,A359
Airbus A380-800,Airbus A380-800,A388
ATR 42 family,ATR 42-300,AT43
ATR 42 family,ATR 42-500,AT45
ATR 42 family,ATR 42-600,AT46
ATR 72 family,ATR 72-200,AT72
ATR 72 family,ATR 72-500,AT75
ATR 72 family,ATR 72-600,AT76
Avro RJ family,Avro RJ100,RJ1H
Avro RJ family,Avro RJ70,RJ70
Avro RJ family,Avro RJ85,RJ85
Boeing 737 family,Boeing 737 MAX 7,B37M
Boeing 737 family,Boeing 737 MAX 8,B38M
Boeing 737 family,Boeing 737 MAX 9,B39M
Boeing 737 family,Boeing 737-200,B732
Boeing 737 family,Boeing 737-300,B733
Boeing 737 family,Boeing 737-400,B734
Boeing 737 family,Boeing 737-500,B735
Boeing 737 family,Boeing 737-600,B736
Boeing 737 family,Boeing 737-700,B737
Boeing 737 family,Boeing 737-800,B738
Boeing 737 family,Boeing 737-900,B739
Boeing 747 family,Boeing 747-200,B742
Boeing 747 family,Boeing 747-300,B743
Boeing 747 family,Boeing 747-400,B744
Boeing 747 family,Boeing 747-8,B748
Boeing 747 family,Boeing 747SP,B74S
Boeing 757 family,Boeing 757-200,B752
Boeing 757 family,Boeing 757-300,B753
Boeing 767 family,Boeing 767-200,B762
Boeing 767 family,Boeing 767-300,B763
Boeing 767 family,Boeing 767-400,B764
Boeing 777 family,Boeing 777-200,B772
Boeing 777 family,Boeing 777-200LR,B77L
Boeing 777 family,Boeing 777-300,B773
Boeing 777 family,Boeing 777-300ER,B77W
Boeing 787 family,Boeing 787-10,B78X
Boeing 787 family,Boeing 787-8,B788
Boeing 787 family,Boeing 787-9,B789
Bombardier CRJ family,Bombardier CRJ-100,CRJ1
Bombardier CRJ family,Bombardier CRJ-1000,CRJX
Bombardier CRJ family,Bombardier CRJ-200,CRJ2
Bombardier CRJ family,Bombardier CRJ-700,CRJ7
Bombardier CRJ family,Bombardier CRJ-900,CRJ9
Bombardier Dash 8 family,Bombardier Dash 8-100,DH8A
Bombardier Dash 8 family,Bombardier Dash 8-200,DH8B
Bombardier Dash 8 family,Bombardier Dash 8-300,DH8C
Bombardier Dash 8 family,Bombardier Dash 8-400,DH8D
Embraer E-Jet family,Embraer E170,E170
Embraer E-Jet family,Embraer E175 (long),E75L
Embraer E-Jet family,Embraer E175 (short),E75S
Embraer E-Jet family,Embraer E190,E190
Embraer E-Jet family,Embraer E195,E195
Embraer RJ135,Embraer RJ135,E135
Embraer RJ145,Embraer RJ145,E145
Fokker family,Fokker 100,F100
Fokker family,Fokker 50,F50
Fokker family,Fokker 70,F70
McDonnell Douglas DC-10,McDonnell Douglas DC-10,DC10
McDonnell Douglas MD-11,McDonnell Douglas MD-11,MD11
McDonnell Douglas MD-80 family,McDonnell Douglas MD-81,MD81
McDonnell Douglas MD-80 family,McDonnell Douglas MD-82,MD82
McDonnell Douglas MD-80 family,McDonnell Douglas MD-83,MD83
McDonnell Douglas MD-80 family,McDonnell Douglas MD-87,MD87
McDonnell Douglas MD-80 family,McDonnell Douglas MD-88,MD88
McDonnell Douglas MD-90,McDonnell Douglas MD-90,MD90
Saab 2000,Saab 2000,SB20
Saab 340,Saab 340,SF34
Sukhoi Superjet 100,Sukhoi Superjet 100,SU95
